wht_profile_tin_active,wht_profile_years_on_register,wht_profile_is_profile_complete,wht_profile_director_tin_coverage_ratio,wht_profile_has_all_director_tins,wht_vat_is_vat_registered,wht_vat_efris_usage_ratio,wht_vat_efris_fully_compliant,wht_wht_is_wht_registered,wht_wht_is_designated_agent,wht_wht_filing_compliance_ratio,wht_wht_avg_payment_delay_days,wht_wht_supplier_tin_coverage_ratio,wht_wht_missing_supplier_tins_count,wht_profile_overall_filing_compliance_ratio,wht_profile_late_returns_last_12m,wht_profile_max_days_late_return,wht_pay_tax_payment_compliance_ratio_12m,wht_pay_domestic_tax_paid_12m,wht_pay_is_small_taxpayer,wht_pay_meets_minimum_payment_threshold,wht_penalty_underestimation_flag_5y,wht_penalty_underestimation_count_5y,wht_penalty_underestimation_amount_5y,wht_enforce_has_outstanding_liability,wht_enforce_on_installment_plan_flag,wht_enforce_enforcement_actions_count_5y,wht_enforce_recent_enforcement_flag,wht_investig_investigation_flag,wht_investig_investigation_count,wht_investig_last_investigation_recency_days,wht_profit_years_of_consecutive_loss,wht_profit_loss_to_turnover_ratio,wht_composite_overall_compliance_score,wht_composite_enforcement_risk_score,wht_composite_transparency_score,wht_composite_stability_score,wht_rule_any_fatal_legal_failure,label_safe_to_exempt
True,2,True,0.858,True,False,0.098,False,True,False,0.957,11.4,0.903,1,0.993,0,0,0.774,11535025.0,True,False,False,0,0.0,False,False,1,False,False,0,0,3,0.16,87.5,28.0,84.6,44.5,False,1
True,12,True,0.671,False,True,0.873,False,True,False,0.725,16.6,0.647,7,0.791,1,14,0.902,89256374.0,True,True,False,0,0.0,False,False,0,False,False,0,0,2,0.231,78.8,0.0,71.5,82.1,False,1
True,10,True,0.746,False,False,0.0,False,True,True,0.9,27.6,0.855,3,0.657,6,2,0.959,81467006.0,False,True,False,0,0.0,False,False,0,False,False,0,0,1,0.206,59.7,0.0,76.9,86.6,False,1
True,2,True,0.669,False,False,0.0,False,True,True,0.619,26.0,0.686,5,0.949,1,31,0.802,29662443.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.322,81.4,0.0,72.9,42.0,False,1
True,14,True,0.796,False,False,0.0,False,False,False,0.488,13.3,0.831,1,1.0,0,0,0.798,55284660.0,True,True,False,0,0.0,False,False,0,False,False,0,0,0,0.0,88.7,0.0,78.7,95.1,False,1
True,9,True,0.941,False,True,0.737,False,True,False,0.979,3.8,0.792,4,0.91,1,38,0.846,376420667.0,False,True,False,0,0.0,False,False,1,False,False,0,0,1,0.019,85.0,28.0,78.7,89.9,False,1
True,13,True,0.581,False,True,0.795,False,True,False,0.936,7.1,0.768,6,0.987,0,0,0.676,234461151.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.301,83.5,0.0,64.0,82.0,False,1
True,9,True,0.951,False,False,0.0,False,False,False,0.73,13.6,0.9,4,0.83,2,6,0.985,78230842.0,False,True,False,0,0.0,False,False,1,True,False,0,0,2,0.39,82.7,28.0,86.5,73.9,False,1
True,16,True,0.745,False,True,0.922,False,False,False,0.617,7.9,0.786,7,0.922,0,0,0.989,38405997.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.456,93.9,0.0,77.4,71.1,False,1
True,11,True,0.971,False,True,0.763,False,False,False,0.716,10.3,0.566,2,0.953,1,9,0.997,30469924.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.122,93.0,0.0,81.0,79.0,False,1
True,10,True,0.806,False,True,0.948,False,False,False,0.542,13.9,0.965,0,1.0,0,0,0.84,102026244.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.16,90.5,0.0,89.1,84.1,False,1
True,8,True,0.978,False,False,0.05,False,True,False,0.88,4.8,0.835,1,0.731,3,31,0.855,23185004.0,True,False,False,0,0.0,False,False,2,False,False,0,0,0,0.0,70.4,36.0,83.0,85.6,False,0
True,10,True,0.747,False,True,0.932,False,False,False,0.596,14.4,0.74,3,0.961,0,0,0.919,763526014.0,False,True,False,0,0.0,True,False,0,False,False,0,0,2,0.307,91.8,25.0,77.2,83.9,False,0
True,1,True,0.908,False,False,0.077,False,False,False,0.635,17.1,0.7,3,0.614,2,17,0.729,172714443.0,False,True,True,2,22461018.0,False,False,1,False,False,0,0,0,0.0,58.7,53.0,80.1,61.0,False,0
True,18,False,0.926,False,True,0.889,False,False,False,0.699,18.2,0.663,7,0.689,0,0,0.762,18720395.0,True,False,False,0,0.0,False,False,0,False,False,0,0,1,0.351,69.2,0.0,55.5,80.5,True,0
True,8,True,0.941,False,False,0.0,False,False,False,0.614,13.6,0.64,7,0.857,1,43,0.739,117058187.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.278,75.7,0.0,70.8,69.4,False,1
True,4,True,0.887,False,False,0.0,False,True,True,0.943,12.6,0.685,6,1.0,0,0,1.0,68317367.0,False,True,False,0,0.0,False,False,0,False,False,0,0,1,0.502,97.9,0.0,77.3,54.9,False,0
True,17,True,0.818,False,True,0.963,True,False,False,0.502,15.2,0.852,3,0.975,0,0,0.937,11270392.0,True,False,False,0,0.0,False,False,1,False,False,0,0,1,0.303,93.2,28.0,80.9,80.8,False,1
True,10,True,0.726,False,True,0.883,False,False,False,0.534,18.0,0.824,3,0.815,1,24,0.743,70429973.0,False,True,False,0,0.0,True,False,0,False,False,0,0,3,0.162,72.8,25.0,81.0,79.5,False,1
True,0,True,0.749,False,True,0.662,False,True,False,0.904,3.5,0.827,5,0.962,0,0,0.798,57957862.0,True,True,False,0,0.0,False,False,0,False,False,0,0,3,0.104,88.2,0.0,81.0,40.6,False,0
True,6,True,0.781,False,True,0.815,False,True,False,0.846,6.6,0.759,4,0.687,3,1,0.934,475952914.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.044,71.2,0.0,76.0,69.6,False,1
True,14,True,0.642,False,False,0.0,False,False,False,0.531,10.5,0.878,1,0.883,0,0,0.833,17761438.0,True,False,False,0,0.0,False,False,1,True,False,0,0,2,0.328,84.3,28.0,73.3,77.0,False,0
True,1,True,0.847,True,True,1.0,True,True,False,0.862,5.5,0.97,0,0.908,1,26,0.851,13446564.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.484,84.8,0.0,90.2,32.6,False,1
True,3,False,0.75,False,True,0.993,True,True,False,0.775,14.8,0.63,5,0.757,1,27,0.57,46837294.0,True,False,True,2,29812671.0,False,False,1,True,False,0,0,1,0.119,62.3,53.0,44.7,59.9,True,0
True,3,True,0.645,False,True,0.748,False,False,False,0.659,7.3,0.823,4,0.514,5,43,0.517,37320063.0,True,False,False,0,0.0,True,False,1,True,False,0,0,2,0.316,37.8,53.0,80.5,50.5,False,0
True,6,True,0.958,False,True,0.978,True,True,True,0.903,8.0,0.6,7,0.736,7,43,0.754,42187406.0,False,True,False,0,0.0,True,True,0,False,False,0,0,0,0.0,55.6,15.0,79.1,78.7,False,1
True,19,True,0.863,False,False,0.018,False,True,True,1.0,2.7,0.703,5,0.938,1,20,0.714,8469500.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.244,80.8,0.0,75.8,73.8,False,0
True,7,True,0.812,False,False,0.051,False,True,False,0.836,22.7,0.887,0,0.827,1,25,0.863,18318854.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.295,78.0,0.0,81.0,61.9,False,0
True,0,True,0.735,False,True,0.927,False,True,False,0.636,27.0,0.981,0,1.0,0,0,0.963,22203645.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.153,93.8,0.0,88.1,41.7,False,1
True,11,True,0.991,False,False,0.0,False,True,False,0.751,5.6,0.772,4,0.885,1,4,0.85,19142947.0,False,True,False,0,0.0,False,False,1,False,False,0,0,3,0.21,83.5,28.0,79.3,76.1,False,1
True,19,True,0.613,False,True,0.953,True,True,False,0.689,11.9,0.839,0,0.901,0,0,0.946,149405690.0,False,True,False,0,0.0,False,False,1,False,False,0,0,0,0.0,90.1,28.0,76.1,96.8,False,1
True,8,True,0.769,False,False,0.0,False,True,False,0.668,19.4,0.732,6,0.924,0,0,0.751,20049066.0,True,False,False,0,0.0,True,True,0,False,False,0,0,1,0.125,81.4,15.0,74.8,78.3,False,0
False,11,True,0.981,False,True,0.855,False,True,False,0.757,9.9,0.915,3,0.809,1,28,0.86,11440414.0,True,False,False,0,0.0,False,False,0,False,False,0,0,1,0.077,79.0,0.0,91.8,86.5,True,0
True,1,True,0.779,False,True,0.915,False,True,False,0.644,9.3,0.809,3,0.905,0,0,0.748,14332338.0,True,False,True,3,3560377.0,False,False,0,False,False,0,0,1,0.14,81.9,25.0,80.3,49.3,False,0
True,16,True,0.875,False,False,0.0,False,True,False,0.71,8.5,0.804,2,0.871,0,0,0.962,70772540.0,True,True,False,0,0.0,False,False,0,False,False,0,0,3,0.091,89.8,0.0,78.6,81.3,False,1
True,6,True,0.878,True,False,0.0,False,False,False,0.569,12.5,0.868,5,0.721,1,28,0.847,37393706.0,False,True,True,2,16809601.0,False,False,0,False,True,1,949,2,0.116,73.2,55.0,73.8,67.5,False,0
True,9,True,0.953,False,True,0.854,False,True,False,0.904,10.9,0.801,1,0.816,0,0,0.87,31923587.0,True,False,False,0,0.0,False,False,0,False,False,0,0,0,0.0,82.2,0.0,91.1,90.2,False,0
True,10,True,0.942,False,True,0.93,False,True,False,0.932,29.8,0.663,5,0.645,2,34,0.743,135553586.0,True,True,False,0,0.0,False,False,0,False,False,0,0,0,0.0,58.9,0.0,76.2,96.6,False,1
True,2,False,0.514,False,True,0.904,False,True,False,1.0,15.1,0.792,2,0.8,1,29,0.729,10847713.0,True,False,False,0,0.0,False,False,1,True,False,0,0,3,0.173,71.8,28.0,51.9,44.0,True,0
True,13,True,0.559,False,False,0.0,False,False,False,0.417,16.8,0.861,2,0.945,1,36,0.768,226464479.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.04,81.3,0.0,72.7,88.5,False,0
True,15,True,0.861,False,True,0.987,True,False,False,0.245,21.7,0.936,1,0.987,0,0,0.911,11365918.0,True,False,False,0,0.0,False,False,0,False,False,0,0,0,0.0,91.6,0.0,86.8,92.4,False,1
True,12,True,0.642,False,True,0.913,False,True,False,0.874,6.1,0.805,3,0.784,4,16,0.57,23238113.0,False,True,False,0,0.0,True,True,0,False,False,0,0,1,0.213,57.8,15.0,68.7,84.3,False,1
True,1,True,0.845,False,False,0.0,False,True,True,0.809,11.7,0.607,8,0.908,0,0,0.747,106277529.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.205,81.6,0.0,73.8,47.1,False,1
False,1,False,0.842,False,True,0.947,False,True,False,0.874,8.9,0.712,4,0.972,0,0,0.789,116030966.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.071,87.5,0.0,57.4,46.6,True,0
True,2,True,0.857,False,True,0.942,False,True,False,0.879,14.4,0.888,2,0.789,1,8,0.709,69278043.0,False,True,False,0,0.0,False,False,0,False,False,0,0,1,0.247,70.4,0.0,84.6,53.3,False,0
True,1,True,0.974,False,False,0.019,False,True,False,0.793,8.2,0.713,3,0.996,0,0,0.764,29699358.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.087,87.8,0.0,80.0,43.9,False,0
True,0,False,0.615,False,True,0.976,True,True,False,0.85,9.8,0.894,4,0.856,1,16,0.844,94586494.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.456,80.9,0.0,55.9,36.6,True,0
True,9,True,0.967,False,False,0.0,False,False,False,0.585,13.4,0.82,2,0.762,2,3,0.929,158698535.0,False,True,False,0,0.0,False,False,1,True,False,0,0,3,0.19,76.5,28.0,85.4,76.2,False,1
True,9,True,0.836,True,False,0.0,False,True,False,0.861,11.7,0.762,3,0.902,1,10,0.97,32772943.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.156,88.8,0.0,78.0,78.3,False,0
